,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate
102,East of England,Piperacillin with tazobactam,2021-01-01,E-coli,13.11,E-coli__Piperacillin with tazobactam__East of England,East of England,1.34
103,East of England,Third Generation Cephalosporins,2021-01-01,E-coli,14.51,E-coli__Third Generation Cephalosporins__East of England,East of England,1.34
104,East of England,Amikacin,2021-01-01,K-pneumoniae,1.29,K-pneumoniae__Amikacin__East of England,East of England,1.34
105,East of England,Carbapenems,2021-01-01,K-pneumoniae,1.43,K-pneumoniae__Carbapenems__East of England,East of England,1.34
106,East of England,Ciprofloxacin,2021-01-01,K-pneumoniae,15.61,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.34
107,East of England,Co-amoxiclav,2021-01-01,K-pneumoniae,33.33,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.34
108,East of England,Gentamicin,2021-01-01,K-pneumoniae,9.22,K-pneumoniae__Gentamicin__East of England,East of England,1.34
109,East of England,Piperacillin with tazobactam,2021-01-01,K-pneumoniae,20.49,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.34
110,East of England,Third Generation Cephalosporins,2021-01-01,K-pneumoniae,12.21,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.34
111,East of England,Amikacin,2021-01-01,P-aeruginosa,1.69,P-aeruginosa__Amikacin__East of England,East of England,1.34
112,East of England,Carbapenems,2021-01-01,P-aeruginosa,5.49,P-aeruginosa__Carbapenems__East of England,East of England,1.34
113,East of England,Ceftazidime,2021-01-01,P-aeruginosa,10.87,P-aeruginosa__Ceftazidime__East of England,East of England,1.34
114,East of England,Ciprofloxacin,2021-01-01,P-aeruginosa,13.54,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.34
115,East of England,Piperacillin with tazobactam,2021-01-01,P-aeruginosa,12.9,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.34
116,East of England,Macrolides,2021-01-01,S-pneumoniae,0.0,S-pneumoniae__Macrolides__East of England,East of England,1.34
117,East of England,Penicillin,2021-01-01,S-pneumoniae,0.0,S-pneumoniae__Penicillin__East of England,East of England,1.34
118,East of England,Glycopeptides,2021-01-01,e-faecalis,3.8,e-faecalis__Glycopeptides__East of England,East of England,1.34
119,East of England,Glycopeptides,2021-01-01,e-faecium,27.72,e-faecium__Glycopeptides__East of England,East of England,1.34
120,East of England,Amikacin,2021-02-01,E-coli,2.39,E-coli__Amikacin__East of England,East of England,1.3
121,East of England,Carbapenems,2021-02-01,E-coli,0.13,E-coli__Carbapenems__East of England,East of England,1.3
122,East of England,Ciprofloxacin,2021-02-01,E-coli,18.3,E-coli__Ciprofloxacin__East of England,East of England,1.3
123,East of England,Co-amoxiclav,2021-02-01,E-coli,43.52,E-coli__Co-amoxiclav__East of England,East of England,1.3
124,East of England,Gentamicin,2021-02-01,E-coli,9.76,E-coli__Gentamicin__East of England,East of England,1.3
125,East of England,Piperacillin with tazobactam,2021-02-01,E-coli,14.15,E-coli__Piperacillin with tazobactam__East of England,East of England,1.3
126,East of England,Third Generation Cephalosporins,2021-02-01,E-coli,15.89,E-coli__Third Generation Cephalosporins__East of England,East of England,1.3
127,East of England,Amikacin,2021-02-01,K-pneumoniae,1.19,K-pneumoniae__Amikacin__East of England,East of England,1.3
128,East of England,Carbapenems,2021-02-01,K-pneumoniae,0.87,K-pneumoniae__Carbapenems__East of England,East of England,1.3
129,East of England,Ciprofloxacin,2021-02-01,K-pneumoniae,16.3,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.3
130,East of England,Co-amoxiclav,2021-02-01,K-pneumoniae,32.89,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.3
131,East of England,Gentamicin,2021-02-01,K-pneumoniae,11.45,K-pneumoniae__Gentamicin__East of England,East of England,1.3
132,East of England,Piperacillin with tazobactam,2021-02-01,K-pneumoniae,23.56,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.3
133,East of England,Third Generation Cephalosporins,2021-02-01,K-pneumoniae,11.69,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.3
134,East of England,Amikacin,2021-02-01,P-aeruginosa,5.66,P-aeruginosa__Amikacin__East of England,East of England,1.3
135,East of England,Carbapenems,2021-02-01,P-aeruginosa,5.62,P-aeruginosa__Carbapenems__East of England,East of England,1.3
136,East of England,Ceftazidime,2021-02-01,P-aeruginosa,12.36,P-aeruginosa__Ceftazidime__East of England,East of England,1.3
137,East of England,Ciprofloxacin,2021-02-01,P-aeruginosa,11.7,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.3
138,East of England,Piperacillin with tazobactam,2021-02-01,P-aeruginosa,11.96,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.3
139,East of England,Macrolides,2021-02-01,S-pneumoniae,0.0,S-pneumoniae__Macrolides__East of England,East of England,1.3
140,East of England,Penicillin,2021-02-01,S-pneumoniae,14.29,S-pneumoniae__Penicillin__East of England,East of England,1.3
141,East of England,Glycopeptides,2021-02-01,e-faecalis,5.88,e-faecalis__Glycopeptides__East of England,East of England,1.3
142,East of England,Glycopeptides,2021-02-01,e-faecium,32.77,e-faecium__Glycopeptides__East of England,East of England,1.3
143,East of England,Amikacin,2021-03-01,E-coli,2.68,E-coli__Amikacin__East of England,East of England,1.27
144,East of England,Carbapenems,2021-03-01,E-coli,0.12,E-coli__Carbapenems__East of England,East of England,1.27
145,East of England,Ciprofloxacin,2021-03-01,E-coli,19.04,E-coli__Ciprofloxacin__East of England,East of England,1.27
146,East of England,Co-amoxiclav,2021-03-01,E-coli,45.99,E-coli__Co-amoxiclav__East of England,East of England,1.27
147,East of England,Gentamicin,2021-03-01,E-coli,9.93,E-coli__Gentamicin__East of England,East of England,1.27
148,East of England,Piperacillin with tazobactam,2021-03-01,E-coli,13.7,E-coli__Piperacillin with tazobactam__East of England,East of England,1.27
149,East of England,Third Generation Cephalosporins,2021-03-01,E-coli,14.52,E-coli__Third Generation Cephalosporins__East of England,East of England,1.27
150,East of England,Amikacin,2021-03-01,K-pneumoniae,0.58,K-pneumoniae__Amikacin__East of England,East of England,1.27
151,East of England,Carbapenems,2021-03-01,K-pneumoniae,0.44,K-pneumoniae__Carbapenems__East of England,East of England,1.27
152,East of England,Ciprofloxacin,2021-03-01,K-pneumoniae,16.07,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.27
153,East of England,Co-amoxiclav,2021-03-01,K-pneumoniae,34.08,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.27
154,East of England,Gentamicin,2021-03-01,K-pneumoniae,10.67,K-pneumoniae__Gentamicin__East of England,East of England,1.27
155,East of England,Piperacillin with tazobactam,2021-03-01,K-pneumoniae,25.79,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.27
156,East of England,Third Generation Cephalosporins,2021-03-01,K-pneumoniae,11.56,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.27
157,East of England,Amikacin,2021-03-01,P-aeruginosa,3.77,P-aeruginosa__Amikacin__East of England,East of England,1.27
158,East of England,Carbapenems,2021-03-01,P-aeruginosa,6.45,P-aeruginosa__Carbapenems__East of England,East of England,1.27
159,East of England,Ceftazidime,2021-03-01,P-aeruginosa,8.51,P-aeruginosa__Ceftazidime__East of England,East of England,1.27
160,East of England,Ciprofloxacin,2021-03-01,P-aeruginosa,13.27,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.27
161,East of England,Piperacillin with tazobactam,2021-03-01,P-aeruginosa,7.14,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.27
162,East of England,Macrolides,2021-03-01,S-pneumoniae,7.14,S-pneumoniae__Macrolides__East of England,East of England,1.27
163,East of England,Penicillin,2021-03-01,S-pneumoniae,18.18,S-pneumoniae__Penicillin__East of England,East of England,1.27
164,East of England,Glycopeptides,2021-03-01,e-faecalis,4.65,e-faecalis__Glycopeptides__East of England,East of England,1.27
165,East of England,Glycopeptides,2021-03-01,e-faecium,40.41,e-faecium__Glycopeptides__East of England,East of England,1.27
166,East of England,Amikacin,2021-04-01,E-coli,3.9,E-coli__Amikacin__East of England,East of England,1.25
167,East of England,Carbapenems,2021-04-01,E-coli,0.11,E-coli__Carbapenems__East of England,East of England,1.25
168,East of England,Ciprofloxacin,2021-04-01,E-coli,19.07,E-coli__Ciprofloxacin__East of England,East of England,1.25
169,East of England,Co-amoxiclav,2021-04-01,E-coli,46.78,E-coli__Co-amoxiclav__East of England,East of England,1.25
170,East of England,Gentamicin,2021-04-01,E-coli,10.94,E-coli__Gentamicin__East of England,East of England,1.25
171,East of England,Piperacillin with tazobactam,2021-04-01,E-coli,13.91,E-coli__Piperacillin with tazobactam__East of England,East of England,1.25
172,East of England,Third Generation Cephalosporins,2021-04-01,E-coli,13.67,E-coli__Third Generation Cephalosporins__East of England,East of England,1.25
173,East of England,Amikacin,2021-04-01,K-pneumoniae,0.66,K-pneumoniae__Amikacin__East of England,East of England,1.25
174,East of England,Carbapenems,2021-04-01,K-pneumoniae,0.5,K-pneumoniae__Carbapenems__East of England,East of England,1.25
175,East of England,Ciprofloxacin,2021-04-01,K-pneumoniae,17.09,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.25
176,East of England,Co-amoxiclav,2021-04-01,K-pneumoniae,33.67,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.25
177,East of England,Gentamicin,2021-04-01,K-pneumoniae,10.4,K-pneumoniae__Gentamicin__East of England,East of England,1.25
178,East of England,Piperacillin with tazobactam,2021-04-01,K-pneumoniae,25.51,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.25
179,East of England,Third Generation Cephalosporins,2021-04-01,K-pneumoniae,14.14,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.25
180,East of England,Amikacin,2021-04-01,P-aeruginosa,4.84,P-aeruginosa__Amikacin__East of England,East of England,1.25
181,East of England,Carbapenems,2021-04-01,P-aeruginosa,7.84,P-aeruginosa__Carbapenems__East of England,East of England,1.25
182,East of England,Ceftazidime,2021-04-01,P-aeruginosa,7.92,P-aeruginosa__Ceftazidime__East of England,East of England,1.25
183,East of England,Ciprofloxacin,2021-04-01,P-aeruginosa,12.62,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.25
184,East of England,Piperacillin with tazobactam,2021-04-01,P-aeruginosa,5.66,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.25
185,East of England,Macrolides,2021-04-01,S-pneumoniae,14.29,S-pneumoniae__Macrolides__East of England,East of England,1.25
186,East of England,Penicillin,2021-04-01,S-pneumoniae,10.34,S-pneumoniae__Penicillin__East of England,East of England,1.25
187,East of England,Glycopeptides,2021-04-01,e-faecalis,5.75,e-faecalis__Glycopeptides__East of England,East of England,1.25
188,East of England,Glycopeptides,2021-04-01,e-faecium,43.38,e-faecium__Glycopeptides__East of England,East of England,1.25
189,East of England,Amikacin,2021-05-01,E-coli,3.25,E-coli__Amikacin__East of England,East of England,1.26
190,East of England,Carbapenems,2021-05-01,E-coli,0.21,E-coli__Carbapenems__East of England,East of England,1.26
191,East of England,Ciprofloxacin,2021-05-01,E-coli,19.33,E-coli__Ciprofloxacin__East of England,East of England,1.26
192,East of England,Co-amoxiclav,2021-05-01,E-coli,43.7,E-coli__Co-amoxiclav__East of England,East of England,1.26
193,East of England,Gentamicin,2021-05-01,E-coli,10.88,E-coli__Gentamicin__East of England,East of England,1.26
194,East of England,Piperacillin with tazobactam,2021-05-01,E-coli,12.53,E-coli__Piperacillin with tazobactam__East of England,East of England,1.26
195,East of England,Third Generation Cephalosporins,2021-05-01,E-coli,13.08,E-coli__Third Generation Cephalosporins__East of England,East of England,1.26
196,East of England,Amikacin,2021-05-01,K-pneumoniae,0.0,K-pneumoniae__Amikacin__East of England,East of England,1.26
197,East of England,Carbapenems,2021-05-01,K-pneumoniae,0.54,K-pneumoniae__Carbapenems__East of England,East of England,1.26
198,East of England,Ciprofloxacin,2021-05-01,K-pneumoniae,14.36,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.26
199,East of England,Co-amoxiclav,2021-05-01,K-pneumoniae,29.83,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.26
200,East of England,Gentamicin,2021-05-01,K-pneumoniae,8.11,K-pneumoniae__Gentamicin__East of England,East of England,1.26
201,East of England,Piperacillin with tazobactam,2021-05-01,K-pneumoniae,19.23,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.26
202,East of England,Third Generation Cephalosporins,2021-05-01,K-pneumoniae,13.51,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.26
203,East of England,Amikacin,2021-05-01,P-aeruginosa,3.03,P-aeruginosa__Amikacin__East of England,East of England,1.26
204,East of England,Carbapenems,2021-05-01,P-aeruginosa,9.17,P-aeruginosa__Carbapenems__East of England,East of England,1.26
205,East of England,Ceftazidime,2021-05-01,P-aeruginosa,4.76,P-aeruginosa__Ceftazidime__East of England,East of England,1.26
206,East of England,Ciprofloxacin,2021-05-01,P-aeruginosa,11.93,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.26
207,East of England,Piperacillin with tazobactam,2021-05-01,P-aeruginosa,2.68,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.26
208,East of England,Macrolides,2021-05-01,S-pneumoniae,15.56,S-pneumoniae__Macrolides__East of England,East of England,1.26
209,East of England,Penicillin,2021-05-01,S-pneumoniae,5.26,S-pneumoniae__Penicillin__East of England,East of England,1.26
210,East of England,Glycopeptides,2021-05-01,e-faecalis,3.06,e-faecalis__Glycopeptides__East of England,East of England,1.26
211,East of England,Glycopeptides,2021-05-01,e-faecium,42.74,e-faecium__Glycopeptides__East of England,East of England,1.26
212,East of England,Amikacin,2021-06-01,E-coli,3.21,E-coli__Amikacin__East of England,East of England,1.27
213,East of England,Carbapenems,2021-06-01,E-coli,0.1,E-coli__Carbapenems__East of England,East of England,1.27
214,East of England,Ciprofloxacin,2021-06-01,E-coli,18.42,E-coli__Ciprofloxacin__East of England,East of England,1.27
215,East of England,Co-amoxiclav,2021-06-01,E-coli,43.4,E-coli__Co-amoxiclav__East of England,East of England,1.27
216,East of England,Gentamicin,2021-06-01,E-coli,10.08,E-coli__Gentamicin__East of England,East of England,1.27
217,East of England,Piperacillin with tazobactam,2021-06-01,E-coli,12.37,E-coli__Piperacillin with tazobactam__East of England,East of England,1.27
218,East of England,Third Generation Cephalosporins,2021-06-01,E-coli,13.16,E-coli__Third Generation Cephalosporins__East of England,East of England,1.27
219,East of England,Amikacin,2021-06-01,K-pneumoniae,0.0,K-pneumoniae__Amikacin__East of England,East of England,1.27
220,East of England,Carbapenems,2021-06-01,K-pneumoniae,0.0,K-pneumoniae__Carbapenems__East of England,East of England,1.27
221,East of England,Ciprofloxacin,2021-06-01,K-pneumoniae,13.27,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.27
222,East of England,Co-amoxiclav,2021-06-01,K-pneumoniae,29.95,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.27
223,East of England,Gentamicin,2021-06-01,K-pneumoniae,7.58,K-pneumoniae__Gentamicin__East of England,East of England,1.27
